id,museum_sammlungsbereich,standort,exakter_standort,inventarnummer,alte_inventarnummern,objektbezeichnung_gegenstand,titel,kategorie,objektgattung,objekttyp,anzahl_teile,erfassungsstatus,darstellung_ikonographie,personen_gnd,personen_nicht_normiert,herstellungsort,fundort,dargestellter_genannter_ort,gebrauchsort,ort_der_geistigen_schoepfung,druckort,entstehungsort,publikationsort_verlagsort,technik,material,farbe,hoehe,breite,tiefe,durchmesser,laenge,gewicht,massstab,beschriftung_aufdruck,datumsart,beginn,ende,herstellungszweck,verwendungszweck,land,ethnie,stil,sachgruppe,schlagwoerter,beschreibung,literatur_gvk,literatur_freitext,weblinks,bemerkungen,zustand,fundstelleid,massnahmeid,fundid,fundstellennummer,fundnummer,fundumstaende,befund,schnitt,lagebeschreibung,fund_bemerkung,bezugssystem,longitude,latitude,fund_3d_koordinaten,objektgeschichte,hornbostelsachs
365626,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 12 > Karton 12b,K 269,,Skulptur,Mann mit Kind auf dem Rücken,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Mexiko,,,,,,,,,Gips,Peru,14.8cm,6.9cm,2.5cm,,,145g,,,,,,,,Mittelamerika,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Völkerkunde Museum Berlin Dahlem, Nr. IV Ca 34692. Die stehende, menschliche Figur ohne Geschlechtsmerkmale trägt ein Kind auf ihrem Rücken. Am länglichen Kopf der größeren Figur sind eine große, dreieckige Nase, ovale Augen, ein breiter Mund sowie kleine Ohren mit dickem, ringförmigen Anhänger plastisch dargestellt. Das Haar ist nach oben gekämmt. Um den Hals ist eine doppelreihige Kette mit zylindrischen Gliedern gelegt. Die an den breiten Schultern ansetzenden Arme sind auf den Rücken gelegt, sodass die Hände das Gesäß des Kindes stützen. Die Rippenbogen sind durch eine Ritzlinie dargestellt. Der Bauchnabel ist nur undeutlich markiert. Einziges Bekleidungsstück ist ein Schurz. Die Beine stehen O-förmig. Die Zehen sind durch Einritzungen markiert. Das Kind mit dem ebenfalls hochfrisierten Haar hält sich mit seinen Händen an der linken Schulter der größeren Figur fest.",,"Literatur in Zusammenhang: Eisleb, Dieter (1971) Westmexikanische Keramik. Museum für Völkerkunde Berlin. N.F. 24, Abb. 80a, Abb. 80b (Originale).; Beschrieben in: Eisleb, Dieter (1971) Westmexikanische Keramik. Museum für Völkerkunde Berlin. N.F. 24. Rautenstrauch-Joest-Museum für Völkerkunde Köln (1987) Aus der Tiefe. Grabfiguren aus Westmexiko. Köln.",,"Erwerb und Jahr: Gipsformerei Staatliche Museen Berlin,07.02.1973 für 101 DM, vgl.Korrespondenz",,,,,,,,,,,,,,,,,
365627,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 12 > Karton 12b,K 270,,Skulptur,Tonfigurengruppe Liebespaar,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Mexiko,,,,,,,,,Gips,Gebräunt,11.7cm,9.5cm,2.5cm,,,140g,,,,,,,,Mittelamerika,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Völkerkunde Museum Berlin Dahlem Nr. IV Ca 34634. Eisleb, Dieter (1971) Westmexikanische Keramik. Museum für Völkerkunde Berlin. N.F. 24, S. 51: ""Die beiden Figuren, die mit umgelegten Armen nebeneinander stehen, sind bis auf die Geschlechtsteile völlig identisch gearbeitet. Interessant ist, daß Mann und Frau die gleiche Frisur tragen."" Die Plastik zeigt ein nebeneinanderstehendes Paar. Der etwas kleinere Mann hat seinen linken Arm um die Hüften der Frau gelegt, diese hat ihren rechten Arm auf die Schulter des Mannes gelegt. Bis auf die Geschlechtsteile sind die beiden unbekleideten Figuren völlig identisch gearbeitet: länglicher Kopf mit hoher Stirn, auf der auf jeder Seite ein dichtes Haarbüschel modelliert ist, große, dreieckige Nase, Mund und Augen als runde Verdickung mit jeweils zwei eingestochenen Punkten an den Enden einer gedachten waagerechten Diagonalen, glockenförmige Ohren, ein vom Kopf in den Rücken herabhängender Wulst. Die jeweils freie Hand ist an den eigenen Hals gelegt.",,"Literatur in Zusammenhang: Eisleb, Dieter (1971) Westmexikanische Keramik. Museum für Völkerkunde Berlin. N.F. 24, Abb. 136a (Original).; Beschrieben in: Eisleb, Dieter (1971) Westmexikanische Keramik. Museum für Völkerkunde Berlin. N.F. 24.",,"Erwerb und Jahr: Gipsformerei Staatliche Museen Berlin,07.02.1973 für 101 DM, vgl.Korrespondenz",,,,,,,,,,,,,,,,,
365628,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 12,K 271,,Skulptur,Weibliche Tonfigur in Hockstellung,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Mexiko,,,,,,,,,Gips,Siena,8.3cm,6cm,4.8cm,,,126g,,,,,,,,Mittelamerika,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Völkerkunde Museum Berlin-Dahlem, Inv.-Nr. IV Ca 21540. Der schmale, im Profil flache Kopf der auf dem Gesäß hockenden Figur verbreitert sich nach oben hin. An den Seiten der Stirn sind volle Haarbüschel modelliert. Am Gesicht sind kaffeebohnenförmige Augen, eine kräftige Nase, lange Ohren und ein ovaler Mund plastisch dargestellt. An dem kugeligen Rumpf sind seitlich die angewinkelten Beine angebracht. Vorn ist ein überhängender Bauchlappen mit dreieckig eingeschnittenem Nabel aufgelegt. Die Hände sind auf den Halsansatz gelegt, die Ellenbogen stehen seitlich ab. Zwei doppelte Armreifen bilden den einzigen Schmuck. Eisleb, Dieter (1971) Westmexikanische Keramik. Veröffentlichungen des Museums für Völkerkunde. Berlin, S. 54: ""Der Körper ist fast kugelförmig gearbeitet, die Beine sind eng angezogen, die Arme ruhen auf der Brust. Den einzigen Schmuck bilden doppelte Armreifen.""",,"Beschrieben in: Eisleb, Dieter (1971) Westmexikanische Keramik. Veröffentlichungen des Museums für Völkerkunde. Berlin, S. 54, S. 269.; Literatur in Zusammenhang: Eisleb, Dieter (1971) Westmexikanische Keramik. Veröffentlichungen des Museums für Völkerkunde. Berlin, Abb. 152 (Original).",,"Erwerb und Jahr: Gipsformerei Staatliche Museen Berlin,07.02.1973 für 101 DM, vgl.Korrespondenz",,,,,,,,,,,,,,,,,
365629,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 12 > Karton 12b,K 272,,Skulptur,Stehende weibliche Figur,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Mexiko,,,,,,,,,Gips,Siena,11.5cm,5.2cm,3.8cm,,,124g,,,,,,,,Mittelamerika,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Völkerkunde Museum Berlin-Dahlem Nr. IV Ca 21512. Das Gesicht der stehenden, menschenähnlichen Figur ist nahezu rund und besitzt eingeritzte schlitzförmige Augen, einen eingeschnittenen Mund sowie eine große, dreieckige Nase mit eingeschnittenen Schlitzen als Nasenlöcher. In jedes der großen, länglich rechteckigen Ohren ist ein waagerechtes Loch gebohrt. Der Haaransatz ist durch einen flachen Wulst mit schrägstehenden Einritzungen markiert. Die Oberarme sind seitlich angelegt, unter den Achseln ist ein waagerechtes Loch gebohrt. Die Hände, unter denen möglicherweise weibliche Brüste angedeutet sind, liegen auf dem vorgewölbten Bauch. Direkt an den Bauch sind kurze Stummel mit abgeflachter Unterseite angesetzt. An der Vorderseite dieser Stummel sind durch parallele Einkerbungen Zehen markiert.",,"Beschrieben in: Eisleb, Dieter (1971) Westmexikanische Keramik. Museum für Völkerkunde Berlin. N.F. 24.; Literatur in Zusammenhang: Eisleb, Dieter (1971) Westmexikanische Keramik. Museum für Völkerkunde Berlin. N.F. 24, Abb. 163 (Original).",,"Erwerb und Jahr: Gipsformerei Staatliche Museen Berlin,07.02.1973 für 101 DM, vgl.Korrespondenz",,,,,,,,,,,,,,,,,
365630,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 12 > Karton 12b,K 273,,Skulptur,Frau mit Kind auf dem Rücken,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Mexiko,,,,,,,,,Gips,Peru,11.9cm,6cm,2.5cm,,,104g,,,,,,,,Mittelamerika,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Völkerkunde Museum Berlin Dahlem, Nr. IV Ca 34692. Die stehende Frauenfigur trägt ein Kind auf ihrem Rücken. Am länglichen Kopf der Frau sind eine große, dreieckige Nase, kaffeebohenförmige Augen, ein ovaler, wulstiger Mund sowie ovale Ohren mit kugeligen Anhängern plastisch dargestellt. Das Haar ist als ""Topffrisur"" modelliert. Die an breiten Schultern ansetzenden Arme sind auf den Rücken gelegt, sodass die Hände das Gesäß des Kindes stützen. Die weiblichen Brüste sind in unnatürlicher Lage, dicht neben den Achselhöhlen dargestellt. Einziges Bekleidungsstück ist ein Schurz. Die kurzen Beine laufen zu den stummeligen Füßen aus. Das Kind hält sich an den Schultern der Frau fest.",,"Beschrieben in: Eisleb, Dieter (1971) Westmexikanische Keramik. Museum für Völkerkunde Berlin. N.F. 24.; Literatur in Zusammenhang: Eisleb, Dieter (1971) Westmexikanische Keramik. Museum für Völkerkunde Berlin. N.F. 24, Abb. 134a, Abb. 134b (Originale).",,"Erwerb und Jahr: Gipsformerei Staatliche Museen Berlin,07.02.1973 für 69 DM, vgl.Korrespondenz",,,,,,,,,,,,,,,,,
365631,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 12,K 274,,Skulptur,"Sitzende Frau, ein Kind vor sich haltend",Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Mexiko,,,,,,,,,Gips,Sattelbraun,13cm,8.1cm,6.6cm,,,133g,,,Herstellungsdatum,200,500,,,Mittelamerika,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Museum für Völkerkunde Berlin-Dahlem, Nr. 3782. Eine menschenähnliche Figur hockt auf ihrem Gesäß, ihre Beine bilden einen Kreis auf dem Boden. An dem länglichen Kopf sind ovale Augen, eine große, weit vorgezogene Nase, ein Mund mit wulstigen Lippen sowie kleine, runde Ohren mit großen, klumpigen Anhängern plastisch dargestellt. Das Haar ist auf dem Kopf in mehreren, miteinander verknoteten Strängen zusammengefaßt. Die an breiten Schultern ansetzenden Arme sind abgewinkelt, die Unterarme führen vor dem Rumpf zusammen und umfassen ein Kind, das mit seinem Rücken an den Bauch der größeren Figur anliegt. Der Kopf des Kindes ist ähnlich modelliert wie derjenige der größeren Figur. Das Kind hat seinen linken Arm hinter seinen Kopf gelegt, sein rechter Arm führt zu seinem Mund.",,"Literatur in Zusammenhang: Eisleb, Dieter 1971: Abb. 123 (Original); Beschrieben in: Eisleb, Dieter: Westafrikanische Keramik, Veröffentlichungen des Museums für Völkerkunde Berlin 1971 (siehe auch K 269)",,Erwerb und Jahr: Gipsformerei berlin 1973 Macken an Rücken der Figur neu?,,,,,,,,,,,,,,,,,
365632,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 02,K 275,,Hochrelief,"Fruchtbarkeitsgöttin aus ""Ras Schamra""",Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Syrien,,,,,,,,,Modelliermasse,Peru,9.25cm,5cm,2.1cm,,,185g,,,Herstellungsdatum,-2000,,,,,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Louvre, Paris. Reliefartige Darstellung einer Frau, die ein Kind stillt. Die mit einem mit Strukturmustern verzierten Kleid bekleidete Frau sitzt mit übereinandergeschlagenen Beinen auf einem Hocker und hält das gewickelte Kind auf ihrem Schoß. Die Füße der Frau sind ebenso wie die des Kindes nackt. Sie trägt eine kappenförmige Kopfbedeckung bzw. derartige Frisur.",,"Beschrieben in: Parrot, André (1960) Sumer. München, S. 240.; Literatur in Zusammenhang: Parrot, André (1960) Sumer. München, S. 240, Abb. 295.",,"Erwerb und Jahr: Services techniques et commerciaux de la Réunion des musées nationaux für 76,05 Francs, Paris, 12.04.1973 Vgl. Korrespondenz Verwaltung und Louvre",,,,,,,,,,,,,,,,,
365633,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 07,K 276,,Krug,"Hockende Frau mit Kind, Muttermilchkrüglein",Skulptur,Gefäß,3D-Objekt,,veröffentlichen,,,,Ägypten,,,,,,,,,Gips,Schokolade,13.4cm,5.5cm,7cm,,,350g,,,Herstellungsdatum,-1552,-1070,,,,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Ägyptisches Museum Berlin, Katalog-Nr. 672. Brunner-Traut, Emma (o.J.) Das Milchkrüglein. Ammen mit Stillumhang und Mondamulett. In: Michel, E.; Röllig, W.; von Soden, W. (Hg.): Die Welt des Orients. Wissenschaftliche Beiträge zur Kunde des Morgenlandes. S. 145: ""Frau mit Kind. Kind sitzt der Frau zugewandt, rittlings auf ihrem Schoß, Mutter stützt es mit beiden Händen im Rücken. Köpfchen des Kindes seitwärts gedreht, Arme und Beine nur flüchtig ausgeführt; am Hals unbestimmbares Amulett. Frau kauert; trägt einen Umhang, der sie ganz umschließt ('Schleier'); Füße frei. Haare fallen in zwei Strähnen auf die Brust bis in die Ellenbeuge; im Rücken, unten in einen Schwanz eingebunden, bis ins Kreuz. Auf der Brust ursprünglich Mondamulett (?), heute nur noch Spuren. Zylindrischer Ausguß mit Ringhenkel, der sich vom Gefäßrand auf den Hinterkopf biegt. Haare von Mutter und Kind, Augen und Fingerzwischenräume sowie Amulett schwarz gemalt. Vom Gewand keine Angaben (mehr?). Der Oberkörper der Frau ist fehlerhaft nach hinten geneigt, statt senkrecht aufgerichtet (Füße sind nicht etwa abgebrochen), sodaß das Gefäß ohne Inhalt nicht stehen kann, sondern wohl am Henkel aufgehängt wurde."" ebd., S. 155: ""Die Muttermilch wird verwendet zu Salben, Einreibmittel, zum Einnehmen, für Aufschläge oder auch zu Einläufen, also für jede Verwendungsform von Arzneien. Die Muttermilch ist dabei Ingredienz oder auch Grundsubstanz. Muttermilch als Heilmittel dient also weder speziell für die Mutter noch für den Säugling, sie ist Arznei allgemein für entsprechende Patienten. Und diese Arznei wurde aufbewahrt in den hier behandelten Krügen. Wir heißen sie deshalb 'Muttermilchkrüglein'."" ebd., S. 153: ""Die Kinder, die die Krugfiguren bei sich haben, sind keine Neugeborenen mehr, d.s. Kinder der beiden ersten Lebenswochen, sondern Säuglinge, d.s. bei uns Kinder im ersten Lebensjahr, während sie in Ägypten bekanntlich mindestens zum 3. Lebensjahr gestillt werden konnten. (...) Die Kinder sind samt und sonders gesunde Kinder."" ebd., S. 162: ""Wer hat nun die Muttermilchkrüglein besessen? Gewiß nicht jeder beliebige Patient, der das entsprechende Medikament brauchte; wohl auch keineswegs jeder Patient von Rang, der die Arznei anwendete, ebensowenig die Amme, die die Milch lieferte; eher der Arzt, der ja im Alten Ägypten in gleicher Person Apotheker war...""",,"Beschrieben in: Brunner-Traut, Emma (o.J.) Das Milchkrüglein. Ammen mit Stillumhang und Mondamulett. In: Michel, E.; Röllig, W.; von Soden, W. (Hg.): Die Welt des Orients. Wissenschaftliche Beiträge zur Kunde des Morgenlandes. S. 145 (S. 155, S. 153, S.162); Literatur in Zusammenhang: Brunner-Traut, Emma (o.J.) Das Milchkrüglein. Ammen mit Stillumhang und Mondamulett. In: Michel, E.; Röllig, W.; von Soden, W. (Hg.): Die Welt des Orients. Wissenschaftliche Beiträge zur Kunde des Morgenlandes. S.164, Abb. 1.",,"Reparatur: Gipsspuren an der Nase des Kindes. Erwerb und Jahr: Gipsformerei Staatliche Museen Berlin,14.03.1973 für 91 DM, vgl.Korrespondenz",,,,,,,,,,,,,,,,,
365634,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 07,K 277,,Skulptur,Frau mit Kind auf der linken Hüfte,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Ägypten,,,,,,,,,Gips,Weizen,11.9cm,4.2cm,2.3cm,,,89g,,,Herstellungsdatum,-2040,-1652,,,,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Ägyptisches Museum, Berlin. Eine im Profil gestreckte, unbekleidete Frau trägt auf iher linken Hüfte ein Kind. Ihr linker Arm ist um den Rücken des Kindes gelegt, ihre rechte Hand hält dessen Füße. Auf dem Kopf der Frau sitzt eine Perücke, deren hintere Haarteile in drei Zöpfen zusammengefaßt sind. Die Trennungslinie zwischen den Beinen und der Leistenbeuge sind durch eine Rinne markiert. Das Kind greift mit dem linken Arm nach den Brüsten der Mutter, sein rechter Arm ist auf ihren Rücken gelegt. Der Körper der Frau ist hellgrau bemalt, ihre Haare und ihre Augen sind schwarz. Die rotbraune Farbe, die auf den Körper des Kindes aufgetragen ist, ist zum Teil abgeblättert. In die Außenseite des rechten Beines der Frau sind Hieroglyphen eingeritzt. Katalog Staatl. Museen Preuss. Kulturbesitz, ""Ägyptisches Museum Berlin"", 1967, S. 45: ""Vor allem bei Männerbestattungen, seltener auch in Frauengräbern des Mittleren Reiches, fanden sich kleine weibliche Figuren aus Holz, Fayence, Stein, Elfenbein und Ton, vielfach ohne Füße, was wohl bewirken sollte, diese Nachbildungen von Haremsmädchen und Dienerinnen im Grab festzuhalten. Die einfachen, bis zum äußersten stilisierten Holzfiguren (Kat. Nr. 453 - 455) scheinen vor allem für die 11. Dynastie charakteristisch zu sein. Die Kalksteinfigur mit einem Kind auf der Hüfte trägt auf der Seite die hieroglyphische Inschrift 'Möge Deiner Tochter Seh eine Geburt gegeben werden'. 'Mittleres Reich', 11. - 13. Dynastie, um 2040 - 1652 v. Chr.""",,"Beschrieben in: Katalog Staatl. Museen Preuss. Kulturbesitz, """"Ägyptisches Museum Berlin"""", 1967, S. 45.; Literatur in Zusammenhang: Katalog Staatl. Museen Preuss. Kulturbesitz, ""Ägyptisches Museum Berlin"", 1967, S. 45, Figur 453.",,"Erwerb und Jahr: Gipsformerei Staatliche Museen Berlin,14.03.1973 für 82 DM, vgl.Korrespondenz",,,,,,,,,,,,,,,,,
365635,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 06 > Karton 06b,K 278,,Skulptur,Weibliche Figur,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Malta,,,,,,,,,Gips,Antikweiß,5.7cm,5.3cm,2cm,,,86g,,,Herstellungsdatum,-2000,,,,,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: National Museum, La Valetta, Malta. Material des Originals: Alabaster. Stehende Figur ohne Kopf, die in der Tiefenausdehnung flach ist, in der Breitenausdehnung jedoch eine immense und ganz unrealistische Fettleibigkeit mit schwellenden Hüften und Schenkeln, aber einer auffallend zierlichen linken Hand aufweist. Beide Arme sind angewinkelt, die linke Hand liegt auf der Mitte des Bauches und scheint die rechte zu bedecken. Füße fehlen. Die Darstellung des Unterleibs ist auf der Vorderseite durch eine senkrechte Rille in zwei Hälften geteilt, sodass sich der Eindruck einer Rückansicht des menschlichen Unterleibs vermittelt. Wahrscheinlich Votiv-Figur, die am Altar der unterirdischen Grabräume abgelegt wurde.",,"Beschrieben in: Regau, Thomas (1966) Die Große Göttin der Fruchtbarkeit in Maltas Steinzeittempeln. In: Sonderheft 1966 Materia Medica Nordmark Hamburg. Evans, John, D. (1963) Malta. Köln, S. 117ff.; Literatur in Zusammenhang: Evans, John, D. (1963) Malta. Köln, Abb. 51.",,"Erwerb und Jahr: National Museum Valetta, Malta, 1972 (?)",,,,,,,,,,,,,,,,,
365636,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 06 > Karton 06b,K 279,,Skulptur,Große sitzende Figur,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Malta,,,,,,,,,Gips,Papaya,21cm,27.5cm,20cm,,,4130g,,,Herstellungsdatum,-2000,,,,,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: National Museum, La Valetta, Malta. Material des Originals: Kalkstein. An dieser mit angezogenen und nach links geneigten Knien sitzenden Figur fehlt der Kopf. Am Halsansatz führt ein großes Loch (Ø ca. 3 cm, Tiefe: ca. 3,5 cm) senkrecht in den Rumpf. Brüste sind nur angedeutet, dagegen gehen die ""ungeheuren Hüften (...) (in ein) steatopygisches Gebirge von Schenkeln und Gesäß"" über. (Hunger, Heinz (1984) Die heilige Hochzeit. Vorgeschichtliche Sexualkulte und -mythen. Wiesbaden, S. 126.) Die Plastik ist innen hohl. Die Figur sitzt auf einer scheibenförmigen Unterlage.",,"Beschrieben in: Hunger, Heinz (1984) Die heilige Hochzeit. Vorgeschichtliche Sexualkulte und -mythen. Wiesbaden, S. 126. Regau, Thomas (1966) Die Große Göttin der Fruchtbarkeit in Maltas Steinzeittempeln. In: 4. Sonderheft 1966 Materia Medica Nordmark Hamburg. Evans, John, D. (1963) Malta. Köln, S. 117ff.; Literatur in Zusammenhang: Hunger, Heinz (1984) Die heilige Hochzeit. Vorgeschichtliche Sexualkulte und -mythen. Wiesbaden, S. 126, Abb. 175. Regau, Thomas (1966) Die Große Göttin der Fruchtbarkeit in Maltas Steinzeittempeln. In: 4. Sonderheft 1966 Materia Medica Nordmark Hamburg, S. 4, Abb. 2 (ähnliches Objekt). Evans, John, D. (1963) Malta. Köln, Abb. 53.",,"Erwerb und Jahr: National Museum Valetta, Malta, 1972 Vgl. Korrespondenz Gräfin Saurma",,,,,,,,,,,,,,,,,
365637,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 05 > Karton 05b,K 280,,Skulptur,Weibliches Idol,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Türkei,,,,,,,,,Gips,ZitronenChiffon; Schokolade,22cm,10.4cm,5.7cm,,,625g,,,Herstellungsdatum,-7000,,,,,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Museum für Vor- und Frühgeschichte Berlin, Inv.-Nr. 5722. Material des Originals: Speckstein mit Ton. Mit rotbrauner Farbe sind die Innenseiten der Beine sowie der Nacken und Hinterkopf vollständig bedeckt. Die stehende Figur hat die Ellenbogen abgewinkelt und die Hände unterhalb der Brüste auf den Bauch gelegt. Ausladende Schultern, breite Gesäß- und Oberschenkelpartie.",,"Literatur in Zusammenhang: Muscarella, Oskar White (1971) The Metropolitan Museum of Art. New York.",,"Erwerb und Jahr: Museum für Vor- und Frühgeschichte für 340 D-Mark, Berlin, 1979 Vgl. Korrespondenz mit Frau Dr. Eva Nagel-Strommenger, Deutsche Orient-Gesellschaft.",,,,,,,,,,,,,,,,,
365638,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 07 > Karton 07b,K 281,,Skulptur,Frauenidol mit erhobenen Armen,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Ägypten,,,,,,,,,Gips,Gebräunt; Schokolade,24cm,12cm,3.3cm,,,239g,,,Herstellungsdatum,-400,-301,,,,,,,,"Es handelt sich um eine Nachbildung. Die Frauenfigur mit anonymen Gesicht streckt die Arme in einer weit geöffneten V-Form nach oben, die Finger weisen waagerecht nach innen. Es entsteht so der Eindruck, die Figur stütze einen großen Gegenstand. Dem schlanken Oberkörper mit den deutlich modellierten Brüsten folgt ein breites Becken, dem sich übergangslos die zu einem schlanken Keil mit abgerundeten Kanten stilisierte Beinpartie anschließt. Der Körper ist orange gefärbt, der Unterkörper braun. aus: ""Die Chronik der Frauen"", S. 57: - ähnliches steht im Brooklyn Museum, New York - Oberägypten, 4000 v. Chr. - Arme wie zur Klage erhoben, vorstellbar sind Frauenrituale, bei denen Frauen solche Figuren in ihren Händen hielten",,,,Kopie angefertigt von Prof. Schmidt-Matthiesen,,,,,,,,,,,,,,,,,
